% 
% 
@RELATION GCH 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE 19 REAL
@ATTRIBUTE 20 REAL
@ATTRIBUTE 21 REAL
@ATTRIBUTE 22 REAL
@ATTRIBUTE 23 REAL
@ATTRIBUTE 24 REAL
@ATTRIBUTE 25 REAL
@ATTRIBUTE 26 REAL
@ATTRIBUTE 27 REAL
@ATTRIBUTE 28 REAL
@ATTRIBUTE 29 REAL
@ATTRIBUTE 30 REAL
@ATTRIBUTE 31 REAL
@ATTRIBUTE 32 REAL
@ATTRIBUTE 33 REAL
@ATTRIBUTE 34 REAL
@ATTRIBUTE 35 REAL
@ATTRIBUTE 36 REAL
@ATTRIBUTE 37 REAL
@ATTRIBUTE 38 REAL
@ATTRIBUTE 39 REAL
@ATTRIBUTE 40 REAL
@ATTRIBUTE 41 REAL
@ATTRIBUTE 42 REAL
@ATTRIBUTE 43 REAL
@ATTRIBUTE 44 REAL
@ATTRIBUTE 45 REAL
@ATTRIBUTE 46 REAL
@ATTRIBUTE 47 REAL
@ATTRIBUTE 48 REAL
@ATTRIBUTE 49 REAL
@ATTRIBUTE 50 REAL
@ATTRIBUTE 51 REAL
@ATTRIBUTE 52 REAL
@ATTRIBUTE 53 REAL
@ATTRIBUTE 54 REAL
@ATTRIBUTE 55 REAL
@ATTRIBUTE 56 REAL
@ATTRIBUTE 57 REAL
@ATTRIBUTE 58 REAL
@ATTRIBUTE 59 REAL
@ATTRIBUTE 60 REAL
@ATTRIBUTE 61 REAL
@ATTRIBUTE 62 REAL
@ATTRIBUTE 63 REAL
@ATTRIBUTE 64 REAL
@ATTRIBUTE 65 REAL
@ATTRIBUTE 66 REAL
@ATTRIBUTE class {C02, C01} 

@DATA 
267.0,214.0,440.0,746.0,739.0,597.0,460.0,469.0,474.0,414.0,394.0,401.0,351.0,339.0,419.0,459.0,558.0,490.0,343.0,803.0,2107.0,39141.0,238.0,177.0,374.0,655.0,802.0,619.0,482.0,478.0,456.0,435.0,393.0,406.0,344.0,365.0,406.0,413.0,525.0,583.0,373.0,749.0,2019.0,39333.0,274.0,215.0,469.0,750.0,723.0,555.0,475.0,460.0,459.0,420.0,394.0,390.0,373.0,349.0,408.0,433.0,575.0,497.0,285.0,486.0,2494.0,39141.0,C01
15101.0,8623.0,2179.0,1165.0,1030.0,1014.0,1033.0,1121.0,1154.0,1163.0,1114.0,1004.0,811.0,654.0,537.0,483.0,406.0,378.0,515.0,1693.0,9089.0,193.0,11771.0,11060.0,2872.0,1259.0,1015.0,1027.0,1029.0,1098.0,1146.0,1156.0,1136.0,1041.0,819.0,680.0,536.0,488.0,434.0,365.0,598.0,5716.0,5112.0,102.0,16688.0,7598.0,1920.0,1138.0,1003.0,1011.0,1040.0,1131.0,1186.0,1184.0,1078.0,979.0,788.0,628.0,535.0,470.0,492.0,1984.0,9112.0,438.0,55.0,2.0,C01
10188.0,8510.0,4239.0,2507.0,2376.0,2497.0,2416.0,2429.0,2775.0,2941.0,2930.0,2571.0,1643.0,987.0,653.0,414.0,252.0,101.0,46.0,11.0,4.0,0.0,6329.0,8567.0,5464.0,3352.0,2296.0,2406.0,2418.0,2397.0,2523.0,2962.0,3084.0,2838.0,2356.0,1383.0,877.0,549.0,364.0,210.0,67.0,40.0,5.0,3.0,3542.0,8481.0,6592.0,4102.0,2551.0,2280.0,2472.0,2433.0,2579.0,2920.0,3056.0,2942.0,2555.0,1580.0,940.0,659.0,409.0,237.0,104.0,42.0,10.0,4.0,C01
42198.0,3317.0,1437.0,827.0,643.0,487.0,354.0,272.0,243.0,163.0,105.0,84.0,74.0,51.0,25.0,18.0,13.0,7.0,3.0,4.0,0.0,0.0,6132.0,5365.0,7251.0,7256.0,6506.0,3862.0,2865.0,2789.0,2235.0,1173.0,910.0,865.0,758.0,715.0,528.0,397.0,365.0,227.0,89.0,28.0,5.0,4.0,384.0,1531.0,2324.0,3220.0,3928.0,4547.0,4602.0,4123.0,3891.0,3773.0,2714.0,1681.0,1550.0,1439.0,1548.0,1637.0,1704.0,1047.0,840.0,1336.0,1696.0,810.0,C01
538.0,28784.0,12470.0,4119.0,1400.0,830.0,488.0,376.0,279.0,241.0,146.0,111.0,108.0,86.0,60.0,56.0,54.0,52.0,53.0,57.0,80.0,12.0,400.0,20668.0,15544.0,6484.0,3228.0,1712.0,613.0,394.0,233.0,215.0,150.0,122.0,89.0,93.0,71.0,45.0,66.0,47.0,59.0,56.0,57.0,54.0,65.0,6138.0,20460.0,8792.0,6563.0,3153.0,2548.0,806.0,444.0,266.0,215.0,164.0,134.0,88.0,97.0,67.0,58.0,60.0,53.0,48.0,67.0,114.0,C01
12664.0,12341.0,5725.0,3615.0,2573.0,1899.0,1644.0,1526.0,1252.0,1142.0,1107.0,821.0,722.0,599.0,519.0,474.0,392.0,353.0,269.0,202.0,201.0,206.0,14416.0,12439.0,5267.0,3274.0,2316.0,1844.0,1550.0,1368.0,1296.0,1151.0,873.0,736.0,679.0,577.0,537.0,460.0,374.0,312.0,226.0,188.0,186.0,177.0,13550.0,12657.0,5926.0,3168.0,2412.0,1739.0,1590.0,1446.0,1160.0,967.0,844.0,735.0,724.0,628.0,582.0,494.0,409.0,316.0,292.0,195.0,230.0,182.0,C01
18553.0,9661.0,3849.0,4346.0,3483.0,2522.0,768.0,913.0,1250.0,833.0,738.0,991.0,1093.0,700.0,460.0,47.0,29.0,57.0,44.0,25.0,0.0,0.0,13077.0,8557.0,6969.0,3087.0,4247.0,2385.0,1998.0,2620.0,930.0,1135.0,1114.0,645.0,936.0,1010.0,896.0,546.0,63.0,38.0,23.0,53.0,33.0,0.0,13082.0,8983.0,6247.0,2879.0,3663.0,2633.0,1929.0,3281.0,994.0,1137.0,1234.0,590.0,967.0,1055.0,939.0,568.0,45.0,39.0,20.0,59.0,18.0,0.0,C01
182.0,8067.0,8877.0,3344.0,4671.0,6628.0,5780.0,3993.0,2628.0,1711.0,952.0,704.0,534.0,517.0,419.0,304.0,233.0,203.0,183.0,148.0,169.0,21.0,6.0,1906.0,8004.0,5831.0,2014.0,2070.0,2258.0,3074.0,3868.0,4026.0,3891.0,3597.0,2743.0,1917.0,1600.0,1071.0,718.0,426.0,342.0,295.0,301.0,310.0,0.0,0.0,10.0,1300.0,3415.0,6377.0,5681.0,3300.0,3658.0,4390.0,4049.0,3737.0,3611.0,3063.0,2086.0,1688.0,1353.0,906.0,604.0,310.0,282.0,448.0,C01
21683.0,12526.0,4267.0,2101.0,1631.0,1509.0,1526.0,1200.0,1037.0,664.0,617.0,487.0,370.0,269.0,173.0,105.0,48.0,29.0,18.0,24.0,22.0,19.0,18010.0,13634.0,5835.0,2904.0,1799.0,1604.0,1532.0,1204.0,988.0,744.0,584.0,421.0,363.0,239.0,148.0,114.0,74.0,42.0,18.0,25.0,23.0,20.0,29921.0,7086.0,2647.0,2018.0,1759.0,1680.0,1441.0,1051.0,818.0,513.0,437.0,304.0,204.0,145.0,95.0,62.0,42.0,22.0,21.0,18.0,22.0,19.0,C01
2460.0,4120.0,8335.0,11398.0,11392.0,6359.0,2604.0,885.0,467.0,259.0,194.0,186.0,170.0,171.0,164.0,183.0,180.0,210.0,196.0,166.0,164.0,137.0,3351.0,7978.0,12127.0,12893.0,7156.0,2938.0,929.0,495.0,306.0,201.0,196.0,170.0,153.0,168.0,169.0,178.0,187.0,196.0,196.0,170.0,157.0,86.0,2114.0,4273.0,8153.0,10580.0,11664.0,6062.0,3383.0,1040.0,559.0,338.0,212.0,202.0,182.0,156.0,156.0,180.0,166.0,197.0,198.0,195.0,167.0,223.0,C01
35654.0,5332.0,2295.0,1409.0,1036.0,766.0,540.0,414.0,376.0,345.0,301.0,278.0,290.0,275.0,287.0,208.0,193.0,206.0,44.0,39.0,66.0,46.0,35641.0,5305.0,2246.0,1454.0,1100.0,766.0,559.0,443.0,348.0,356.0,285.0,305.0,277.0,306.0,259.0,213.0,193.0,154.0,39.0,41.0,69.0,41.0,36099.0,5290.0,2162.0,1546.0,1041.0,713.0,538.0,375.0,391.0,343.0,276.0,308.0,255.0,232.0,231.0,212.0,148.0,64.0,42.0,46.0,74.0,14.0,C01
